sentence_idx,original_sentence,original_annotated,de_annotated_content,generated_annotated,source_file,similarity_score
1,# Diffusion-Explainer  Diffusion Explainer is an interactive visualization tool designed to help anyone learn how Stable Diffusion transforms text prompts into images.,# <SOFTWARE>Diffusion-Explainer</SOFTWARE>  <SOFTWARE>Diffusion Explainer</SOFTWARE> is an interactive visualization tool designed to help anyone learn how Stable Diffusion transforms text prompts into images.,# Diffusion-Explainer Diffusion Explainer is an interactive visualization tool designed to help anyone learn how Stable Diffusion transforms text prompts into images.,# <SOFTWARE>Diffusion-Explainer</SOFTWARE> <SOFTWARE>Diffusion Explainer</SOFTWARE> is an interactive visualization tool designed to help anyone learn how <SOFTWARE>Stable Diffusion</SOFTWARE> transforms text prompts into images.,../results/deepseek-chat/prompt-0/zzz_poloclub_diffusion-explainer_main_README.md.tsv\c3b13657.txt,0.996996996996997
3,Try Diffusion Explainer at https://poloclub.github.io/diffusion-explainer and watch a demo video on YouTube https://youtu.be/Zg4gxdIWDds!,Try <SOFTWARE>Diffusion Explainer</SOFTWARE> at https://poloclub.github.io/<SOFTWARE>diffusion-explainer</SOFTWARE> and watch a demo video on <SOFTWARE>YouTube</SOFTWARE> https://youtu.be/Zg4gxdIWDds!,Try Diffusion Explainer at https://poloclub.github.io/diffusion-explainer and watch a demo video on YouTube https://youtu.be/Zg4gxdIWDds!,Try <SOFTWARE>Diffusion Explainer</SOFTWARE> at https://<PROJECT>poloclub</PROJECT>.github.io/<SOFTWARE>diffusion-explainer</SOFTWARE> and watch a demo video on YouTube https://youtu.be/Zg4gxdIWDds!,../results/deepseek-chat/prompt-0/zzz_poloclub_diffusion-explainer_main_README.md.tsv\c01bdcba.txt,1.0
4,[!,[!,"[!
","[!
",../results/deepseek-chat/prompt-0/zzz_poloclub_diffusion-explainer_main_README.md.tsv\930372fb.txt,0.8
5,[MIT license](http://img.shields.io/badge/license-MIT-brightgreen.svg)](http://opensource.org/licenses/MIT) [!,[<LICENSE>MIT</LICENSE> license](http://img.shields.io/badge/license-MIT-brightgreen.svg)](http://opensource.org/licenses/MIT) [!,[MIT license](http://img.shields.io/badge/license-MIT-brightgreen.svg)](http://opensource.org/licenses/MIT) [!,[<LICENSE>MIT license</LICENSE>](http://img.shields.io/badge/license-MIT-brightgreen.svg)](http://opensource.org/licenses/<LICENSE>MIT</LICENSE>) [!,../results/deepseek-chat/prompt-0/zzz_poloclub_diffusion-explainer_main_README.md.tsv\b1d702d7.txt,1.0
6,[arxiv badge](https://img.shields.io/badge/arXiv-2305.03509-red)](https://arxiv.org/abs/2305.03509) <!,[arxiv badge](https://img.shields.io/badge/arXiv-2305.03509-red)](https://arxiv.org/abs/2305.03509) <!,"[arxiv badge](https://img.shields.io/badge/arXiv-2305.03509-red)](https://arxiv.org/abs/2305.03509) <!
","[arxiv badge](https://img.shields.io/badge/arXiv-2305.03509-red)](https://arxiv.org/abs/2305.03509) <!
",../results/deepseek-chat/prompt-0/zzz_poloclub_diffusion-explainer_main_README.md.tsv\8350cb43.txt,0.9951219512195122
8,"[crown_jewel]() -->  <table> <tr>     <td colspan=""4""><video width=""100%"" src=""https://github.com/poloclub/diffusion-explainer/assets/43836461/72974e4c-0a5e-436f-b7a1-89de0500bce1""></td> </tr> <tr>     <td><a href=""http://poloclub.github.io/diffusion-explainer"">🚀  Live Demo</a></td>     <td><a href=""https://youtu.be/Zg4gxdIWDds"">📺  Demo Video</a></td>     <td><a href=""https://arxiv.org/abs/2305.03509"">📜  Research Paper</a></td>     <td><a href=""https://medium.com/@seongminleee/77b53f4f1c4"">📄  Blog Post</a></td> </tr> </table>  ### Research Paper [**Diffusion Explainer: Visual Explanation for Text-to-image Stable Diffusion**](https://arxiv.org/abs/2305.03509).","[crown_jewel]() -->  <table> <tr>     <td colspan=""4""><video width=""100%"" src=""https://github.com/poloclub/diffusion-explainer/assets/43836461/72974e4c-0a5e-436f-b7a1-89de0500bce1""></td> </tr> <tr>     <td><a href=""http://poloclub.github.io/diffusion-explainer"">🚀  Live Demo</a></td>     <td><a href=""https://youtu.be/Zg4gxdIWDds"">📺  Demo Video</a></td>     <td><a href=""https://arxiv.org/abs/2305.03509"">📜  Research Paper</a></td>     <td><a href=""https://medium.com/@seongminleee/77b53f4f1c4"">📄  Blog Post</a></td> </tr> </table>  ### Research Paper [**<PUBLICATION>Diffusion Explainer: Visual Explanation for Text-to-image Stable Diffusion</PUBLICATION>**](https://arxiv.org/abs/2305.03509).","[crown_jewel]() -->  <table> <tr>     <td colspan=""4""><video width=""100%"" src=""https://github.com/poloclub/diffusion-explainer/assets/43836461/72974e4c-0a5e-436f-b7a1-89de0500bce1""></td> </tr> <tr>     <td><a href=""http://poloclub.github.io/diffusion-explainer"">🚀  Live Demo</a></td>     <td><a href=""https://youtu.be/Zg4gxdIWDds"">📺  Demo Video</a></td>     <td><a href=""https://arxiv.org/abs/2305.03509"">📜  Research Paper</a></td>     <td><a href=""https://medium.com/@seongminleee/77b53f4f1c4"">📄  Blog Post</a></td> </tr> </table>  ### Research Paper [**Diffusion Explainer: Visual Explanation for Text-to-image Stable Diffusion**](https://arxiv.org/abs/2305.03509).
","[crown_jewel]() -->  <table> <tr>     <td colspan=""4""><video width=""100%"" src=""https://github.com/<PROJECT>poloclub</PROJECT>/<SOFTWARE>diffusion-explainer</SOFTWARE>/assets/43836461/72974e4c-0a5e-436f-b7a1-89de0500bce1""></td> </tr> <tr>     <td><a href=""http://<PROJECT>poloclub</PROJECT>.github.io/<SOFTWARE>diffusion-explainer</SOFTWARE>"">🚀  Live Demo</a></td>     <td><a href=""https://youtu.be/Zg4gxdIWDds"">📺  Demo Video</a></td>     <td><a href=""https://arxiv.org/abs/2305.03509"">📜  Research Paper</a></td>     <td><a href=""https://medium.com/@seongminleee/77b53f4f1c4"">📄  Blog Post</a></td> </tr> </table>  ### Research Paper [**<PUBLICATION>Diffusion Explainer: Visual Explanation for Text-to-image Stable Diffusion</PUBLICATION>**](https://arxiv.org/abs/2305.03509).
",../results/deepseek-chat/prompt-0/zzz_poloclub_diffusion-explainer_main_README.md.tsv\ea019361.txt,0.9992509363295881
10,"Wang, ShengYun Peng, Austin Wright, Kevin Li, Haekyu Park, Haoyang Yang, Duen Horng Chau.","Wang, ShengYun Peng, Austin Wright, Kevin Li, Haekyu Park, Haoyang Yang, Duen Horng Chau.","Wang, ShengYun Peng, Austin Wright, Kevin Li, Haekyu Park, Haoyang Yang, Duen Horng Chau.
","<PUBLICATION>Wang, ShengYun Peng, Austin Wright, Kevin Li, Haekyu Park, Haoyang Yang, Duen Horng Chau.</PUBLICATION>
",../results/deepseek-chat/prompt-0/zzz_poloclub_diffusion-explainer_main_README.md.tsv\8b245295.txt,0.994413407821229
11,"Short paper, IEEE VIS 2024.  ## How to run locally ``` git clone https://github.com/poloclub/diffusion-explainer.git cd diffusion-explainer python -m http.server 8000 ```  Then, on your web browser, access http://localhost:8000.","Short paper, <CONFERENCE>IEEE VIS 2024</CONFERENCE>.  ## How to run locally ``` <SOFTWARE>git</SOFTWARE> clone https://github.com/poloclub/diffusion-explainer.git cd <SOFTWARE>diffusion-explainer</SOFTWARE> <SOFTWARE>python</SOFTWARE> -m http.server 8000 ```  Then, on your web browser, access http://localhost:8000.","Short paper, IEEE VIS 2024.  ## How to run locally  git clone https://github.com/poloclub/diffusion-explainer.git cd diffusion-explainer python -m http.server 8000   Then, on your web browser, access http://localhost:8000.
","Short paper, <PUBLICATION>IEEE VIS 2024</PUBLICATION>.  ## How to run locally  git clone https://github.com/<PROJECT>poloclub</PROJECT>/<SOFTWARE>diffusion-explainer</SOFTWARE>.git cd <SOFTWARE>diffusion-explainer</SOFTWARE> <PROGLANG>python</PROGLANG> -m http.server 8000   Then, on your web browser, access http://localhost:8000.
",../results/deepseek-chat/prompt-0/zzz_poloclub_diffusion-explainer_main_README.md.tsv\1ab3e4f3.txt,0.9844789356984479
12,"You can replace 8000 with other port numbers you want to use.  ## Credits Led by [Seongmin Lee](http://www.seongmin.xyz), Diffusion Explainer is created by Machine Learning and Human-computer Interaction researchers at Georgia Tech and IBM Research.","You can replace 8000 with other port numbers you want to use.  ## Credits Led by [Seongmin Lee](http://www.seongmin.xyz), <SOFTWARE>Diffusion Explainer</SOFTWARE> is created by Machine Learning and Human-computer Interaction researchers at Georgia Tech and IBM Research.","You can replace 8000 with other port numbers you want to use.  ## Credits Led by [Seongmin Lee](http://www.seongmin.xyz), Diffusion Explainer is created by Machine Learning and Human-computer Interaction researchers at Georgia Tech and IBM Research.
","You can replace 8000 with other port numbers you want to use.  ## Credits Led by [Seongmin Lee](http://www.seongmin.xyz), <SOFTWARE>Diffusion Explainer</SOFTWARE> is created by Machine Learning and Human-computer Interaction researchers at <PROJECT>Georgia Tech</PROJECT> and <PROJECT>IBM Research</PROJECT>.
",../results/deepseek-chat/prompt-0/zzz_poloclub_diffusion-explainer_main_README.md.tsv\a87d56db.txt,0.9979959919839679
13,"The team includes [Seongmin Lee](http://www.seongmin.xyz), [Benjamin Hoover](https://bhoov.com), [Hendrik Strobelt](http://hendrik.strobelt.com), [Jay Wang](https://zijie.wang), [ShengYun (Anthony) Peng](https://shengyun-peng.github.io), [Austin Wright](https://www.austinpwright.com), [Kevin Li](https://www.linkedin.com/in/kevinyli/), [Haekyu Park](https://haekyu.github.io/), [Alex Yang](https://alexanderyang.me/), and [Polo Chau](http://www.cc.gatech.edu/~dchau/).  ## Citation  ```bibTeX @article{lee2024diffusion,   title = {{D}iffusion {E}xplainer: {V}isual {E}xplanation for {T}ext-to-image {S}table {D}iffusion},   shorttitle = {Diffusion Explainer},   author = {Lee, Seongmin and Hoover, Benjamin and Strobelt, Hendrik and Wang, Zijie J and Peng, ShengYun and Wright, Austin and Li, Kevin and Park, Haekyu and Yang, Haoyang and Chau, Duen Horng},   journal={IEEE VIS},   year={2024} } ```  ## License The software is available under the [MIT License](https://github.com/poloclub/diffusion-explainer/blob/main/LICENSE).  ## Contact If you have any questions, feel free to [open an issue](https://github.com/poloclub/diffusion-explainer/issues/new/choose) or contact [Seongmin Lee](http://www.seongmin.xyz/).","The team includes [Seongmin Lee](http://www.seongmin.xyz), [Benjamin Hoover](https://bhoov.com), [Hendrik Strobelt](http://hendrik.strobelt.com), [Jay Wang](https://zijie.wang), [ShengYun (Anthony) Peng](https://shengyun-peng.github.io), [Austin Wright](https://www.austinpwright.com), [Kevin Li](https://www.linkedin.com/in/kevinyli/), [Haekyu Park](https://haekyu.github.io/), [Alex Yang](https://alexanderyang.me/), and [Polo Chau](http://www.cc.gatech.edu/~dchau/).  ## Citation  ```bibTeX @article{lee2024diffusion,   title = {<PUBLICATION>{D}iffusion {E}xplainer: {V}isual {E}xplanation for {T}ext-to-image {S}table {D}iffusion</PUBLICATION>},   shorttitle = {Diffusion Explainer},   author = {Lee, Seongmin and Hoover, Benjamin and Strobelt, Hendrik and Wang, Zijie J and Peng, ShengYun and Wright, Austin and Li, Kevin and Park, Haekyu and Yang, Haoyang and Chau, Duen Horng},   journal={<CONFERENCE>IEEE VIS</CONFERENCE>},   year={2024} } ```  ## License The software is available under the [<LICENSE>MIT License</LICENSE>](https://github.com/poloclub/<SOFTWARE>diffusion-explainer</SOFTWARE>/blob/main/LICENSE).  ## Contact If you have any questions, feel free to [open an issue](https://github.com/poloclub/<SOFTWARE>diffusion-explainer</SOFTWARE>/issues/new/choose) or contact [Seongmin Lee](http://www.seongmin.xyz/).","The team includes [Seongmin Lee](http://www.seongmin.xyz), [Benjamin Hoover](https://bhoov.com), [Hendrik Strobelt](http://hendrik.strobelt.com), [Jay Wang](https://zijie.wang), [ShengYun (Anthony) Peng](https://shengyun-peng.github.io), [Austin Wright](https://www.austinpwright.com), [Kevin Li](https://www.linkedin.com/in/kevinyli/), [Haekyu Park](https://haekyu.github.io/), [Alex Yang](https://alexanderyang.me/), and [Polo Chau](http://www.cc.gatech.edu/~dchau/).  ## Citation  bibTeX @article{lee2024diffusion,   title = {{D}iffusion {E}xplainer: {V}isual {E}xplanation for {T}ext-to-image {S}table {D}iffusion},   shorttitle = {Diffusion Explainer},   author = {Lee, Seongmin and Hoover, Benjamin and Strobelt, Hendrik and Wang, Zijie J and Peng, ShengYun and Wright, Austin and Li, Kevin and Park, Haekyu and Yang, Haoyang and Chau, Duen Horng},   journal={IEEE VIS},   year={2024} }   ## License The software is available under the MIT License(https://github.com/poloclub/diffusion-explainer/blob/main/LICENSE).  ## Contact If you have any questions, feel free to [open an issue](https://github.com/poloclub/diffusion-explainer/issues/new/choose) or contact [Seongmin Lee](http://www.seongmin.xyz/).
","The team includes [Seongmin Lee](http://www.seongmin.xyz), [Benjamin Hoover](https://bhoov.com), [Hendrik Strobelt](http://hendrik.strobelt.com), [Jay Wang](https://zijie.wang), [ShengYun (Anthony) Peng](https://shengyun-peng.github.io), [Austin Wright](https://www.austinpwright.com), [Kevin Li](https://www.linkedin.com/in/kevinyli/), [Haekyu Park](https://haekyu.github.io/), [Alex Yang](https://alexanderyang.me/), and [Polo Chau](http://www.cc.gatech.edu/~dchau/).  ## Citation  bibTeX @article{lee2024diffusion,   title = {{D}iffusion {E}xplainer: {V}isual {E}xplanation for {T}ext-to-image {S}table {D}iffusion},   shorttitle = {Diffusion Explainer},   author = {Lee, Seongmin and Hoover, Benjamin and Strobelt, Hendrik and Wang, Zijie J and Peng, ShengYun and Wright, Austin and Li, Kevin and Park, Haekyu and Yang, Haoyang and Chau, Duen Horng},   journal={<CONFERENCE>IEEE VIS</CONFERENCE>},   year={2024} }   ## License The software is available under the <LICENSE>MIT License</LICENSE>(https://github.com/poloclub/diffusion-explainer/blob/main/LICENSE).  ## Contact If you have any questions, feel free to [open an issue](https://github.com/poloclub/diffusion-explainer/issues/new/choose) or contact [Seongmin Lee](http://www.seongmin.xyz/).
",../results/deepseek-chat/prompt-0/zzz_poloclub_diffusion-explainer_main_README.md.tsv\2394ea09.txt,0.9962917181705809
